delta,final_hit_at_1,static_baseline,gain_pts,obs_required
0.05,87.9,87.2,0.7,1569.8
0.1,88.3,87.2,1.1,392.4
0.2,89.7,87.2,2.5,98.1
0.245,90.5,87.2,3.3,65.4
0.4,92.2,87.2,5.0,24.5
0.6,93.6,87.2,6.4,10.9
0.8,94.5,87.2,7.3,6.1
1.0,95.7,87.2,8.5,3.9
